date,ts_ms,coin,ret12,ret24,ret7d,day2_ret24,pump_max5m,mins_since_high12,retrace_from_high,vwap_dist,volr_15m,volr_1h,volr_2h,vol24_usd,oi_usd,funding_1h,funding_8h_sum,premium,spread_bps,depth_bid_05,depth_ask_05,btc_ret24,eth_ret24,breadth_up5,rank24,r30m,r1h,r2h,r3h,r6h,r24h,mae3h,fund_paid_3h,e18_r1h,e18_r2h,e18_r3h,e18_mae3h
2026-07-04,1783204474243,kSHIB,0.017065,0.005851,0.061254,0.037106,0.007579,210,0.025082,0.001298,0.477976,0.573184,0.557064,1181499,2233334,0.000013,,0.000000,,,,0.010291,0.015176,9,65,-0.000224,-0.000671,-0.011633,-0.019463,-0.027293,-0.009620,0.002013,0.000038,-0.002228,-0.006906,-0.015148,0.000000
2026-07-04,1783204474243,UNI,0.009558,0.003520,0.102426,0.009719,0.005167,420,0.019182,-0.000704,1.517845,1.001929,0.799061,1934300,10668593,0.000013,,0.000000,,,,0.010291,0.015176,9,68,-0.002452,-0.002297,-0.007699,-0.010927,-0.009095,-0.009654,0.000993,0.000038,-0.008171,-0.007986,-0.013876,0.000154
2026-07-04,1783204474243,SEI,0.019863,0.002300,-0.004944,0.038747,0.005552,270,0.012649,0.009085,0.084584,0.218547,0.305690,569482,1524997,0.000013,,-0.000479,,,,0.010291,0.015176,9,72,0.001596,-0.002015,-0.006326,-0.013230,-0.017022,-0.004111,0.004390,0.000033,0.003311,-0.001516,-0.005665,0.003949
2026-07-04,1783204474243,RUNE,0.019669,0.011261,0.058990,0.027696,0.003267,270,0.010071,0.004088,0.525886,0.490561,0.570116,138203,1490512,0.000013,,0.000000,,,,0.010291,0.015176,9,45,-0.001299,-0.003006,-0.006398,-0.008394,-0.005099,0.001996,0.000024,0.000038,-0.005408,-0.008065,-0.010146,-0.000263
2026-07-04,1783204474243,ZRO,0.022935,0.037660,0.185686,-0.001046,0.011924,165,0.025403,0.008856,0.455031,0.567813,0.427211,4494459,28312323,0.000032,0.000859,0.000934,3.25,34667,23576,0.010291,0.015176,9,13,-0.002169,-0.007246,-0.018147,-0.007886,-0.014480,0.014687,0.000228,0.000240,-0.007962,-0.018305,-0.020191,0.000000
2026-07-04,1783204474243,DOT,0.016510,0.006128,0.088082,0.048387,0.004785,210,0.014057,0.004558,0.052588,0.733103,0.460185,1065008,4540646,0.000013,,0.000000,,,,0.010291,0.015176,9,63,0.000519,-0.002820,-0.011042,-0.014110,-0.015001,-0.000914,0.002865,0.000038,-0.005364,-0.010449,-0.014749,0.002352
2026-07-04,1783204474243,BANANA,0.015239,-0.016579,0.169390,0.065423,0.008553,440,0.022872,0.003355,0.304579,0.750168,1.523981,151213,366639,0.000013,,0.000000,,,,0.010291,0.015176,9,135,-0.000973,0.008137,0.000421,-0.004539,-0.002529,0.009791,0.014362,0.000038,-0.001522,0.006929,-0.003691,0.013048
2026-07-04,1783204474243,TRB,0.017841,0.012959,0.217173,0.152261,0.014711,430,0.013530,0.011349,0.631869,0.233015,0.297826,608748,455638,0.000013,,-0.000197,,,,0.010291,0.015176,9,41,-0.003813,-0.009902,-0.013408,-0.006273,-0.015007,0.113968,0.002460,0.000038,0.004254,-0.007584,-0.004994,0.008015
2026-07-04,1783204474243,BIGTIME,0.007177,-0.002327,0.036112,0.040764,0.005719,180,0.009115,0.001450,0.687481,0.628549,0.697060,68688,89836,0.000013,,0.000000,,,,0.010291,0.015176,9,89,-0.002332,-0.003498,-0.010106,-0.017880,-0.015159,-0.012827,0.008163,0.000038,0.000647,-0.005826,-0.006085,0.007380
2026-07-04,1783204474243,KAS,0.003597,-0.004714,0.124528,0.012710,0.006408,180,0.009667,0.004537,0.123777,0.192063,0.298478,254033,1022750,0.000013,,-0.000288,,,,0.010291,0.015176,9,100,0.008129,0.015138,-0.003393,-0.009858,-0.006593,-0.002624,0.022628,0.000038,0.008502,0.017547,-0.006904,0.021222
